Scouter,Event,Match Level,Match Num,Robot,Team,Taxi,Auto Amp,Auto Spkr,Teleop Amp,Teleop Spkr,Harmony,Queue Time,Trap,Spot,Driver,Defense,Button,Comments
Liv,2024nhgrs,qm,1,b1,95,Yes,0,0,0,0,Parked,Not Attempted,No,No,Medium,Didn’t Defend,No,Broken?
Liv,2024nhgrs,qm,1,b2,1512,No,0,0,0,0,Parked,Not Attempted,No,No,Low,Didn’t Defend,No,
Liv,2024nhgrs,qm,1,b3,6153,No,0,0,3,0,Parked,'15-30,No,No,High,Didn’t Defend,Yes,
Nate,2024nhgrs,qm,1,r1,126,Yes,0,2,0,0,Soloist,'15-30,No,No,High,Didn’t Defend,No,
Nate,2024nhgrs,qm,1,r2,5265,No,0,0,0,0,Parked,'>30,No,No,Medium,Low,No,
Nate,2024nhgrs,qm,1,r3,9056,No,0,0,0,0,None,Not Attempted,No,No,Medium,High,No,
Nate,2024nhgrs,qm,2,b1,131,Yes,0,1,3,1,Not Observed,Not Attempted,No,No,High,Medium,No,
Nate,2024nhgrs,qm,2,b2,8724,Yes,0,1,1,0,Parked,'0-5,No,No,Medium,Low,No,
Nate,2024nhgrs,qm,2,b3,4473,Yes,0,1,1,2,Parked,'15-30,No,No,Medium,Medium,Yes,
Benjamin,2024nhgrs,qm,2,r1,7913,No,0,0,0,0,Soloist,Not Observed,No,No,Not Observed,Not Observed,No,
Benjamin,2024nhgrs,qm,2,r2,1307,No,0,0,0,0,None,Not Observed,No,No,Not Observed,Low,No,
Benjamin,2024nhgrs,qm,2,r3,58,Yes,0,2,0,0,Soloist,Not Observed,No,No,Not Observed,Medium,Yes,
Nate,2024nhgrs,qm,3,b1,6329,No,0,2,1,1,Soloist,'>30,No,No,High,Didn’t Defend,No,Handled Two Notes at once 
Nate,2024nhgrs,qm,3,b2,4905,Yes,0,0,1,0,Harmony,'15-30,No,No,Medium,Low,Yes,
Nate,2024nhgrs,qm,3,b3,1277,Yes,0,1,0,0,Harmony,'15-30,No,No,High,Medium,No,
Benjamin,2024nhgrs,qm,3,r1,4906,Yes,0,1,1,0,Parked,Not Observed,No,No,Not Observed,Not Observed,Yes,
Benjamin,2024nhgrs,qm,3,r2,1922,Yes,0,2,0,0,Parked,Not Observed,No,No,Not Observed,Not Observed,No,Messed up other climb
Benjamin,2024nhgrs,qm,3,r3,811,Yes,0,3,0,1,Parked,Not Observed,No,No,Medium,Not Observed,No,
Nate,2024nhgrs,qm,4,b1,9443,Yes,0,1,0,0,Soloist,Not Observed,No,No,Not Observed,Not Observed,No,
Nate,2024nhgrs,qm,4,b2,6328,Yes,0,3,2,1,Parked,'15-30,No,No,Not Observed,Not Observed,Yes,
Nate,2024nhgrs,qm,4,b3,2648,Yes,0,1,4,0,Parked,'0-5,No,No,Not Observed,Not Observed,No,
Benjamin,2024nhgrs,qm,4,r1,5687,Yes,0,0,0,2,None,Not Observed,No,No,High,Not Observed,No,
Benjamin,2024nhgrs,qm,4,r2,8023,Yes,0,0,0,0,Soloist,Not Observed,No,No,Not Observed,Not Observed,Yes,
Benjamin,2024nhgrs,qm,4,r3,1058,Yes,0,1,4,1,Soloist,Not Observed,No,Yes,Not Observed,Not Observed,No,
Nate,2024nhgrs,qm,5,b1,8708,No,0,0,0,0,Parked,'>30,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,5,b2,9055,No,0,0,0,0,Parked,'>30,No,No,Medium,Didn’t Defend,No,Got ring stuck
Nate,2024nhgrs,qm,5,b3,238,No,0,0,1,0,Parked,'>30,No,No,Medium,Didn’t Defend,Yes,Broke down
Jamie,2024nhgrs,qm,5,r1,138,Yes,0,0,1,0,Parked,'>30,No,No,Not Observed,Not Observed,Yes,
Jamie,2024nhgrs,qm,5,r2,157,Yes,0,0,0,0,Parked,'>30,No,No,Not Observed,Medium,No,
Jamie,2024nhgrs,qm,5,r3,3467,Yes,0,1,2,0,Soloist,'5-15,No,No,High,Not Observed,No,
Benjamin,2024nhgrs,qm,6,r1,3566,Yes,0,0,0,0,None,'15-30,No,No,Low,Not Observed,Yes,Disabled
Benjamin,2024nhgrs,qm,6,r2,5491,Yes,0,0,0,0,None,Not Observed,No,No,Low,Not Observed,No,
Benjamin,2024nhgrs,qm,6,r3,4041,No,0,0,3,0,None,'5-15,No,No,Medium,Not Observed,No,Disabled
Liv,2024nhgrs,qm,6,b1,1512,No,0,0,0,0,Soloist,'0-5,No,No,Not Observed,Didn’t Defend,Yes,Shooter issue
Liv,2024nhgrs,qm,6,b2,1247,No,0,0,0,0,Not Observed,Not Attempted,No,No,Low,Didn’t Defend,No,Drive issue?
Liv,2024nhgrs,qm,6,b3,4909,Yes,0,3,0,0,None,'0-5,No,No,Not Observed,High,No,
Liv,2024nhgrs,qm,7,b1,1922,Yes,0,2,0,0,Parked,Not Attempted,No,No,High,Didn’t Defend,No,
Liv,2024nhgrs,qm,7,b2,238,No,0,0,0,0,Parked,Not Attempted,No,No,Low,Low,No,
Liv,2024nhgrs,qm,7,b3,6153,No,0,1,0,0,Parked,Not Attempted,No,No,Medium,Medium,No,
Benjamin,2024nhgrs,qm,7,r1,9443,Yes,0,0,0,0,Soloist,Not Observed,No,No,Not Observed,Not Observed,Yes,
Benjamin,2024nhgrs,qm,7,r2,5687,No,0,1,0,0,None,'5-15,No,No,Medium,Not Observed,No,
Benjamin,2024nhgrs,qm,7,r3,95,Yes,0,3,0,0,None,Not Observed,No,No,High,Not Observed,No,
Benjamin,2024nhgrs,qm,8,r1,6329,Yes,0,4,0,0,Soloist,'5-15,No,No,High,Didn’t Defend,No,
Benjamin,2024nhgrs,qm,8,r2,3467,Yes,2,0,0,0,Soloist,'5-15,No,No,Medium,Medium,Yes,
Benjamin,2024nhgrs,qm,8,r3,9055,No,0,0,0,0,None,Not Attempted,No,No,Not Observed,Not Observed,No,
Liv,2024nhgrs,qm,8,b1,58,Yes,0,1,0,0,Soloist,'0-5,No,No,High,Didn’t Defend,No,
Liv,2024nhgrs,qm,8,b2,4909,Yes,0,2,0,0,None,Not Attempted,No,No,High,Didn’t Defend,No,Disabled by hit
Liv,2024nhgrs,qm,8,b3,1277,Yes,0,0,1,0,Parked,Not Attempted,No,No,Medium,Medium,Yes,
Liv,2024nhgrs,qm,9,b1,5265,No,0,0,0,0,Parked,Not Attempted,No,No,Medium,Medium,No,
Liv,2024nhgrs,qm,9,b2,4473,No,0,0,0,0,Parked,Not Attempted,No,No,Low,Didn’t Defend,Yes,
Liv,2024nhgrs,qm,9,b3,4905,No,0,0,0,0,Not Observed,Not Attempted,No,No,Not Observed,Didn’t Defend,No,Disabled in auto
Jamie,2024nhgrs,qm,9,r1,1247,No,0,0,0,0,Parked,Not Observed,No,No,Low,Didn’t Defend,No,
Jamie,2024nhgrs,qm,9,r2,8708,No,0,0,2,0,Parked,Not Observed,No,No,Low,Didn’t Defend,No,
Jamie,2024nhgrs,qm,9,r3,3566,Yes,0,1,0,1,Soloist,'15-30,No,No,Medium,Not Observed,Yes,
Benjamin,2024nhgrs,qm,10,r1,1307,No,0,0,0,0,Not Observed,Not Observed,No,No,Not Observed,Not Observed,No,Disaled
Benjamin,2024nhgrs,qm,10,r2,9056,No,0,0,0,0,Not Observed,Not Observed,No,No,Not Observed,Not Observed,No,Disabled
Benjamin,2024nhgrs,qm,10,r3,6328,Yes,0,1,5,4,Soloist,'0-5,No,No,High,Not Observed,No,
Nate,2024nhgrs,qm,10,b1,4041,No,0,1,2,1,Soloist,'>30,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,10,b2,7913,No,0,0,0,0,Soloist,'0-5,No,No,Medium,Didn’t Defend,No,"Lived up to name, broke halfway through match"
Nate,2024nhgrs,qm,10,b3,138,Yes,0,0,0,0,None,Not Attempted,No,No,High,Didn’t Defend,No,
Nate,2024nhgrs,qm,11,b1,131,Yes,0,2,3,2,Soloist,'5-15,Yes,No,High,Medium,No,
Nate,2024nhgrs,qm,11,b2,811,Yes,0,0,0,0,Parked,'15-30,No,No,Medium,Low,No,Seemed broken for the first half of mstch
Nate,2024nhgrs,qm,11,b3,8023,Yes,0,0,0,0,Parked,'15-30,No,No,Low,Medium,No,
Benjamin,2024nhgrs,qm,11,r1,157,No,0,0,0,0,None,Not Observed,No,No,Not Observed,Not Observed,No,
Benjamin,2024nhgrs,qm,11,r2,1058,Yes,0,2,5,0,None,Not Observed,No,No,Medium,Not Observed,No,
Benjamin,2024nhgrs,qm,11,r3,5491,Yes,0,0,0,2,Parked,Not Observed,No,No,Not Observed,Medium,No,
Nate,2024nhgrs,qm,12,b1,2648,No,0,0,4,0,Soloist,'0-5,No,No,Medium,Medium,No,
Nate,2024nhgrs,qm,12,b2,126,Yes,0,0,0,0,Not Observed,Not Attempted,No,No,High,Didn’t Defend,No,
Nate,2024nhgrs,qm,12,b3,4473,Yes,0,0,0,0,Parked,Not Observed,No,No,Medium,High,No,
Benjamin,2024nhgrs,qm,12,r1,4041,Yes,0,1,1,0,None,'5-15,No,No,Not Observed,High,No,
Benjamin,2024nhgrs,qm,12,r2,8724,Yes,0,1,2,1,None,'15-30,No,No,Medium,Not Observed,No,
Benjamin,2024nhgrs,qm,12,r3,4906,No,0,1,0,0,Parked,Not Observed,No,No,Not Observed,Not Observed,No,
Benjamin,2024nhgrs,qm,13,b1,9055,No,0,0,0,0,Parked,Not Attempted,No,No,Low,Medium,No,
Benjamin,2024nhgrs,qm,13,b2,58,Yes,0,0,0,0,Soloist,'0-5,No,No,High,Didn’t Defend,No,
Benjamin,2024nhgrs,qm,13,b3,1058,Yes,0,3,5,0,Soloist,'5-15,No,No,High,Didn’t Defend,No,
Nate,2024nhgrs,qm,13,r1,1512,Yes,0,2,1,0,Soloist,'15-30,No,No,Medium,Medium,No,
Nate,2024nhgrs,qm,13,r2,131,No,0,0,0,0,Soloist,'15-30,No,No,High,High,No,
Nate,2024nhgrs,qm,13,r3,4905,No,0,0,2,0,Soloist,'15-30,No,No,Medium,Medium,Yes,
Liv,2024nhgrs,qm,14,b1,1277,Yes,0,1,0,0,Parked,Not Attempted,No,No,Medium,Didn’t Defend,No,
Liv,2024nhgrs,qm,14,b2,1922,Yes,0,1,0,0,Soloist,'0-5,No,No,Medium,Didn’t Defend,No,Mobility issue?
Liv,2024nhgrs,qm,14,b3,8708,No,0,0,3,0,Parked,Not Attempted,No,No,Medium,Didn’t Defend,No,In way
Nate,2024nhgrs,qm,14,r1,6153,Yes,0,0,2,0,None,Not Attempted,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,14,r2,1247,No,0,0,0,0,None,Not Attempted,No,No,Medium,Didn’t Defend,No,Broke halfway 
Nate,2024nhgrs,qm,14,r3,8023,Yes,0,0,0,0,Parked,'>30,No,No,Medium,High,No,
Nate,2024nhgrs,qm,15,r1,238,Yes,0,0,0,0,Parked,'15-30,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,15,r2,1307,No,0,0,0,0,Parked,'>30,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,15,r3,126,Yes,0,0,0,0,Soloist,'15-30,No,No,Medium,Didn’t Defend,No,
Liv,2024nhgrs,qm,15,b1,811,Yes,0,3,0,0,Parked,Not Attempted,No,No,High,Didn’t Defend,No,
Liv,2024nhgrs,qm,15,b2,3566,No,0,0,0,0,Parked,Not Attempted,No,No,High,Didn’t Defend,No,
Liv,2024nhgrs,qm,15,b3,7913,No,0,0,1,0,Soloist,'>30,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,16,r1,8724,No,0,0,0,0,None,Not Attempted,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,16,r2,9056,No,0,0,0,0,Parked,'5-15,No,No,Low,Low,No,
Nate,2024nhgrs,qm,16,r3,5687,Yes,0,0,1,0,None,Not Attempted,No,No,High,Medium,No,
Liv,2024nhgrs,qm,16,b1,5265,No,0,0,0,0,Parked,Not Attempted,No,No,Medium,Medium,No,
Liv,2024nhgrs,qm,16,b2,157,No,0,0,1,0,Parked,Not Attempted,No,No,Medium,Didn’t Defend,No,
Liv,2024nhgrs,qm,16,b3,95,No,0,2,0,0,Parked,Not Attempted,No,No,High,Didn’t Defend,No,
Nate,2024nhgrs,qm,17,r1,4906,No,0,0,2,0,Parked,'>30,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,17,r2,6328,Yes,0,0,2,1,Soloist,'15-30,Yes,No,High,Didn’t Defend,No,
Nate,2024nhgrs,qm,17,r3,3467,Yes,0,1,0,1,Soloist,'>30,No,No,High,Didn’t Defend,No,
Liv,2024nhgrs,qm,17,b1,5491,No,0,0,0,0,Parked,Not Attempted,No,No,Low,Didn’t Defend,No,
Liv,2024nhgrs,qm,17,b2,4909,Yes,0,1,3,0,Parked,Not Attempted,No,No,High,Didn’t Defend,No,
Liv,2024nhgrs,qm,17,b3,9443,No,0,0,0,0,Parked,Not Attempted,No,No,Medium,Didn’t Defend,No,Missed often
Liv,2024nhgrs,qm,18,b1,138,Yes,0,1,2,0,None,Not Attempted,No,No,Medium,Didn’t Defend,No,
Liv,2024nhgrs,qm,18,b2,811,Yes,0,2,0,0,None,Not Attempted,No,No,Medium,Didn’t Defend,No,
Liv,2024nhgrs,qm,18,b3,238,No,0,0,1,0,Parked,Not Attempted,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,18,r1,2648,No,0,0,3,0,Soloist,'>30,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,18,r2,6329,Yes,0,3,0,2,None,Not Attempted,No,No,High,Didn’t Defend,No,
Nate,2024nhgrs,qm,18,r3,58,Yes,0,0,0,2,Soloist,'15-30,No,No,High,Didn’t Defend,No,
Liv,2024nhgrs,qm,19,b1,1058,No,0,1,4,0,Soloist,'0-5,No,No,High,Didn’t Defend,No,
Liv,2024nhgrs,qm,19,b2,1247,Yes,0,0,0,0,Parked,Not Attempted,No,No,Low,Low,No,
Liv,2024nhgrs,qm,19,b3,3467,Yes,0,1,0,0,Soloist,'0-5,No,No,High,Didn’t Defend,No,
Nate,2024nhgrs,qm,19,r1,8708,No,0,0,0,0,Parked,'>30,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,19,r2,1512,No,0,0,0,0,Soloist,'5-15,No,No,Low,Didn’t Defend,No,"Broke early, fixed halfway"
Nate,2024nhgrs,qm,19,r3,5687,Yes,0,0,2,0,None,Not Attempted,No,No,High,Didn’t Defend,No,Broke halfway 
Jamie,2024nhgrs,qm,20,b1,1277,Yes,0,0,0,0,Soloist,Not Observed,No,No,Medium,Not Observed,No,
Jamie,2024nhgrs,qm,20,b2,4473,No,0,0,4,0,Parked,Not Observed,No,No,Medium,Not Observed,No,
Jamie,2024nhgrs,qm,20,b3,157,Yes,0,0,0,0,Parked,Not Observed,No,No,Low,Low,No,
Benjamin,2024nhgrs,qm,20,r1,4905,Yes,0,1,4,0,Soloist,'0-5,No,No,High,Not Observed,No,
Benjamin,2024nhgrs,qm,20,r2,1922,No,0,1,0,0,None,Not Observed,No,No,Not Observed,Not Observed,No,
Benjamin,2024nhgrs,qm,20,r3,138,Yes,0,1,0,1,Soloist,'5-15,No,No,Medium,Not Observed,No,
Benjamin,2024nhgrs,qm,21,r1,4906,No,0,0,1,0,Parked,Not Observed,No,No,Not Observed,Medium,No,
Benjamin,2024nhgrs,qm,21,r2,4909,Yes,1,0,0,1,Soloist,Not Observed,No,No,High,Not Observed,No,
Benjamin,2024nhgrs,qm,21,r3,2648,Yes,1,0,6,0,Soloist,Not Observed,No,No,Medium,Not Observed,No,
Jamie,2024nhgrs,qm,21,b1,9056,No,0,0,0,0,Not Observed,Not Observed,No,No,Not Observed,Not Observed,No,
Jamie,2024nhgrs,qm,21,b2,4041,No,0,1,0,0,Not Observed,Not Observed,No,No,Not Observed,Didn’t Defend,No,Tipped on to side
Jamie,2024nhgrs,qm,21,b3,131,Yes,0,3,4,0,Soloist,'5-15,Yes,No,High,Didn’t Defend,No,
Jamie,2024nhgrs,qm,22,b1,5491,Yes,0,0,0,0,Parked,Not Attempted,No,No,Low,Low,No,
Jamie,2024nhgrs,qm,22,b2,5265,No,0,0,0,0,None,Not Observed,No,No,Low,Low,No,
Jamie,2024nhgrs,qm,22,b3,6329,Yes,0,1,1,0,None,Not Attempted,No,No,High,Didn’t Defend,No,
Benjamin,2024nhgrs,qm,22,r1,9443,Yes,0,3,0,0,Soloist,Not Observed,No,No,Not Observed,Not Observed,No,
Benjamin,2024nhgrs,qm,22,r2,6153,Yes,0,1,3,0,None,Not Observed,No,No,Medium,Not Observed,No,
Benjamin,2024nhgrs,qm,22,r3,1307,No,0,0,0,0,Parked,Not Observed,No,No,Not Observed,Not Observed,No,
Jamie,2024nhgrs,qm,23,b1,6328,Yes,0,2,3,0,Soloist,'15-30,No,No,High,Didn’t Defend,No,
Jamie,2024nhgrs,qm,23,b2,95,Yes,0,1,0,0,None,Not Attempted,No,No,Not Observed,Didn’t Defend,No,
Jamie,2024nhgrs,qm,23,b3,8023,No,0,0,0,0,None,Not Attempted,No,No,Not Observed,Didn’t Defend,No,
Benjamin,2024nhgrs,qm,23,r1,7913,No,0,0,4,0,Soloist,'5-15,No,No,Not Observed,Didn’t Defend,No,
Benjamin,2024nhgrs,qm,23,r2,9055,No,0,0,0,0,Parked,Not Attempted,No,No,Not Observed,Low,No,
Benjamin,2024nhgrs,qm,23,r3,126,Yes,0,0,0,0,Soloist,Not Observed,No,No,Medium,Didn’t Defend,No,
Jamie,2024nhgrs,qm,24,b1,3566,Yes,0,0,0,0,Parked,Not Attempted,No,No,Medium,Didn’t Defend,No,
Jamie,2024nhgrs,qm,24,b2,6153,No,0,0,4,0,Parked,Not Attempted,No,No,Medium,Didn’t Defend,No,
Jamie,2024nhgrs,qm,24,b3,9056,No,0,0,0,0,Parked,Not Attempted,No,No,Not Observed,Didn’t Defend,No,
Benjamin,2024nhgrs,qm,24,r1,8724,Yes,0,1,0,1,None,Not Observed,No,No,Not Observed,Medium,No,
Benjamin,2024nhgrs,qm,24,r2,6329,Yes,0,3,0,0,Soloist,'0-5,No,No,High,Didn’t Defend,No,
Benjamin,2024nhgrs,qm,24,r3,8708,No,0,0,2,0,Parked,Not Observed,No,No,Not Observed,Didn’t Defend,No,
Benjamin,2024nhgrs,qm,25,r1,4041,Yes,0,0,0,0,Parked,Not Observed,No,No,Medium,Not Observed,No,
Benjamin,2024nhgrs,qm,25,r2,95,Yes,0,2,0,0,None,Not Observed,No,No,Not Observed,Not Observed,No,
Benjamin,2024nhgrs,qm,25,r3,58,Yes,0,1,1,0,Soloist,Not Observed,No,Yes,Not Observed,Medium,No,
Jamie,2024nhgrs,qm,25,b1,5265,No,0,0,0,0,None,Not Attempted,No,No,Low,Low,No,
Jamie,2024nhgrs,qm,25,b2,1277,No,0,0,0,0,Soloist,Not Observed,No,No,Low,Low,No,
Jamie,2024nhgrs,qm,25,b3,131,Yes,0,1,0,4,Soloist,'0-5,No,Yes,Not Observed,High,No,
Jamie,2024nhgrs,qm,26,b1,126,Yes,0,1,0,0,Parked,Not Attempted,No,No,Medium,Not Observed,No,
Jamie,2024nhgrs,qm,26,b2,6328,Yes,0,3,2,0,Parked,Not Attempted,No,No,High,High,No,Got clogged
Jamie,2024nhgrs,qm,26,b3,8724,No,0,1,0,0,Parked,Not Attempted,No,No,Medium,Not Observed,No,
Benjamin,2024nhgrs,qm,26,r1,4909,Yes,0,5,0,1,Parked,'0-5,No,No,High,Didn’t Defend,No,
Benjamin,2024nhgrs,qm,26,r2,3566,No,0,0,0,0,Soloist,Not Observed,No,No,Not Observed,Medium,No,
Benjamin,2024nhgrs,qm,26,r3,4905,No,0,0,5,0,Soloist,Not Observed,No,No,Medium,Didn’t Defend,No,
Jamie,2024nhgrs,qm,27,b1,1058,Yes,0,3,4,0,Harmony,'5-15,No,No,Medium,Didn’t Defend,No,
Jamie,2024nhgrs,qm,27,b2,1512,No,0,0,0,0,Soloist,'5-15,No,No,Medium,Didn’t Defend,No,
Jamie,2024nhgrs,qm,27,b3,1922,Yes,0,1,0,0,Harmony,'5-15,No,No,Medium,Didn’t Defend,No,
Benjamin,2024nhgrs,qm,27,r1,238,No,0,0,0,0,Parked,Not Observed,No,No,Low,Medium,No,
Benjamin,2024nhgrs,qm,27,r2,2648,Yes,0,1,4,0,Soloist,Not Observed,No,No,Not Observed,Not Observed,No,
Benjamin,2024nhgrs,qm,27,r3,7913,No,0,0,1,0,Parked,Not Observed,No,No,High,Not Observed,No,
Liv,2024nhgrs,qm,28,b1,8023,No,0,0,0,0,Parked,Not Attempted,No,No,Low,Low,No,
Liv,2024nhgrs,qm,28,b2,138,Yes,0,2,0,0,Soloist,'0-5,No,No,High,Didn’t Defend,No,
Liv,2024nhgrs,qm,28,b3,5491,No,0,0,0,0,Parked,Not Attempted,No,No,Low,Didn’t Defend,No,
Nate,2024nhgrs,qm,28,r1,3467,Yes,0,1,0,1,Parked,'15-30,No,No,High,Didn’t Defend,No,
Nate,2024nhgrs,qm,28,r2,9443,Yes,0,3,0,0,Parked,'>30,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,28,r3,4473,No,0,1,4,0,Soloist,'15-30,No,No,Medium,Didn’t Defend,No,
Liv,2024nhgrs,qm,29,b1,1307,No,0,0,0,0,Parked,Not Attempted,No,No,Medium,Didn’t Defend,No,
Liv,2024nhgrs,qm,29,b2,4906,Yes,0,1,0,0,Soloist,'0-5,No,No,Medium,Didn’t Defend,No,
Liv,2024nhgrs,qm,29,b3,1247,No,0,0,0,0,Parked,Not Attempted,No,No,Low,Didn’t Defend,No,
Nate,2024nhgrs,qm,29,r1,811,Yes,0,1,0,0,None,Not Attempted,No,No,Medium,Didn’t Defend,No,Broke halfway 
Nate,2024nhgrs,qm,29,r2,157,No,0,0,1,0,Soloist,'0-5,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,29,r3,9055,No,0,0,0,0,Parked,'15-30,No,No,Medium,Medium,No,
Liv,2024nhgrs,qm,30,b1,5687,No,0,1,0,0,Soloist,'0-5,No,Yes,Medium,Didn’t Defend,No,
Liv,2024nhgrs,qm,30,b2,126,No,0,0,0,0,Soloist,'0-5,No,No,Medium,Didn’t Defend,No,
Liv,2024nhgrs,qm,30,b3,5491,No,0,0,0,0,Parked,Not Attempted,No,No,Medium,Low,No,
Nate,2024nhgrs,qm,30,r1,1277,Yes,0,1,0,0,Parked,'15-30,No,No,Low,Didn’t Defend,No,
Nate,2024nhgrs,qm,30,r2,238,No,0,0,0,0,Parked,'5-15,No,No,Low,Low,No,Didn’t shoot possible y broken 
Nate,2024nhgrs,qm,30,r3,4041,Yes,0,1,2,0,Soloist,'0-5,No,No,High,Didn’t Defend,No,
Liv,2024nhgrs,qm,31,b1,6328,No,0,4,1,0,Soloist,'0-5,No,No,High,Didn’t Defend,No,
Liv,2024nhgrs,qm,31,b2,4473,No,0,0,1,0,None,Not Observed,No,No,Medium,Didn’t Defend,No,
Liv,2024nhgrs,qm,31,b3,1512,No,0,0,0,0,Soloist,'0-5,No,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,31,r1,4909,Yes,0,1,0,0,Soloist,'5-15,No,No,High,Didn’t Defend,No,
Nate,2024nhgrs,qm,31,r2,6153,Yes,0,1,0,0,Parked,'15-30,No,No,Not Observed,Low,No,Jagged movement possibly broken
Nate,2024nhgrs,qm,31,r3,811,Yes,0,1,0,0,Soloist,'5-15,No,No,Not Observed,Didn’t Defend,No,
Liv,2024nhgrs,qm,32,b1,1922,No,0,1,0,0,Soloist,'0-5,No,No,High,Didn’t Defend,No,
Liv,2024nhgrs,qm,32,b2,131,No,0,3,1,0,Parked,Not Attempted,No,No,High,High,No,
Liv,2024nhgrs,qm,32,b3,1247,No,0,0,0,0,Parked,Not Attempted,Yes,No,Medium,Didn’t Defend,No,
Nate,2024nhgrs,qm,32,r1,95,Yes,0,3,0,0,None,Not Attempted,No,No,Medium,High,No,
Nate,2024nhgrs,qm,32,r2,138,No,0,0,0,3,Soloist,'15-30,No,No,Medium,Medium,No,
Nate,2024nhgrs,qm,32,r3,8724,No,0,0,0,3,None,Not Attempted,No,No,Medium,Medium,No,
